feature,n_folds_selected
ad_iframe_count,5
css_has_reset,5
ad_keyword_count,5
clickbait_question_headlines,5
clickbait_exclamation_headlines,5
country_india,5
country_canada,5
css_num_animations,5
css_num_class_selectors,5
css_has_grid,5
css_has_position_fixed,5
css_has_flexbox,5
css_avg_selector_length,5
country_uk,5
country_turkey,5
country_russia,5
country_other,5
css_max_selector_length,5
ext_css_has_position_absolute,5
ext_css_has_reset,5
ext_css_num_animations,5
ext_css_num_classes,5
ext_css_has_flexbox,5
ext_css_avg_selector_length,5
ext_css_has_bootstrap,5
css_num_selectors,5
css_num_transitions,5
css_total_length,5
css_uses_universal_selector,5
css_uses_web_fonts,5
css_num_important,5
css_num_id_selectors,5
css_num_font_families,5
ngram_ail,5
ngram_.org,5
media_type_tv_station,5
media_type_radio_station,5
media_type_newspaper,5
media_type_organization_foundation,5
max_dom_depth,5
internal_link_ratio,5
ngram_.com,5
has_terms_link,5
has_contact_page_link,5
has_meta_description,5
has_about_page_link,5
external_script_count,5
external_link_ratio,5
ext_css_has_grid,5
ext_css_num_transitions,5
ext_css_num_important,5
ext_css_size_bytes,5
ext_css_num_ids,5
ext_css_num_css_variables,5
ext_css_num_colors,5
media_type_website,5
hidden_element_count,5
has_privacy_policy_link,5
ext_css_uses_universal_selector,5
interact_clickbait_x_low_text,5
interact_ads_x_hidden,5
ratio_images_per_1k_words,5
ratio_headings_per_paragraph,5
ratio_empty_links,5
ratio_external_links,5
log_num_divs,5
num_links_external,5
num_scripts,5
num_lists,5
num_stylesheets,5
ratio_iframes_per_tag,5
text_to_html_ratio,5
social_media_link_count,5
traffic_medium_traffic,5
log_num_spans,5
log_ext_css_num_classes,5
log_ext_css_num_selectors,5
log_sentence_count,5
log_ad_keyword_count,5
log_ext_css_size_bytes,5
log_css_total_length,5
trust_deception_ratio,5
complexity_score,5
log_total_tags,5
ngram_org,5
ngram_trib,5
num_headings,5
num_forms,5
ngram_rg,5
ngram_om,5
ngram_or,5
ngram_ily,5
ngram_mes,5
ngram_dia,5
ngram_dai,5
ngram_com,5
ngram_co,5
deception_score,5
clickbait_total,5
log_word_count,5
log_num_scripts,5
log_text_length,5
num_links_nofollow,5
trust_score,5
interact_low_text_high_ads,5
media_type_magazine,4
country_israel,4
clickbait_allcaps_headlines,4
inline_script_count,4
css_num_css_variables,4
css_num_font_weight_bold,4
ngram_ati,4
ngram_ion,4
ngram_tio,4
ngram_nal,4
ngram_nat,4
third_party_script_domains,4
ratio_inline_scripts,4
num_links_internal,4
ratio_popups_per_tag,4
ngram_free,4
unique_tags,4
ext_css_num_selectors,4
ext_css_num_font_families,4
ext_css_num_font_weight_bold,4
css_num_colors,3
traffic_minimal_traffic,3
traffic_high_traffic,3
html_length,3
ngram_in,3
interact_external_x_empty_links,3
num_iframes,3
ngram_net,3
ngram_the,2
ngram_tim,2
num_images,2
ngram_ost,2
num_links_empty,2
has_canonical,2
css_has_bootstrap,2
num_links_total,2
ngram_ws,2
ngram_ews,2
ngram_news,2
ngram_time,2
has_robots_meta,2
country_usa,2
css_has_tailwind,2
text_length,1
ad_density,1
avg_word_length,1
css_has_position_absolute,1
has_og_tags,1
num_paragraphs,1
ngram_er,1
ngram_es,1
ngram_ne,1
ngram_edi,1
traffic_unknown,1
word_count,1
num_inputs,1
ngram_wire,1
log_num_links_total,1
num_inline_styles,1
ngram_.net,0
ngram_an,0
has_twitter_tags,0
ext_css_uses_web_fonts,0
ext_css_num_media_queries,0
css_num_imports,0
css_num_media_queries,0
ext_css_num_imports,0
country_italy,0
country_france,0
country_australia,0
avg_sentence_length,0
country_germany,0
country_ireland,0
country_netherlands,0
meta_tag_count,0
media_type_other,0
media_type_news_agency,0
ngram_daily,0
ngram_epo,0
ngram_ed,0
ngram_et,0
ngram_med,0
ngram_media,0
ngram_ime,0
ngram_he,0
ngram_lit,0
ngram_new,0
ngram_en,0
ngram_www,0
num_divs,0
ngram_ww,0
ngram_tic,0
ngram_ti,0
ngram_th,0
ngram_ort,0
ngram_pol,0
ngram_polit,0
ngram_por,0
ngram_pos,0
ngram_post,0
ngram_press,0
ngram_re,0
ngram_rep,0
ngram_report,0
ngram_oli,0
ngram_on,0
ngram_ics,0
ngram_ew,0
sentence_count,0
num_spans,0
num_tables,0
num_videos,0
ratio_ads_per_paragraph,0
ratio_scripts_per_tag,0
popup_indicator_count,0
total_tags,0
interact_scripts_x_3rdparty,0
interact_popups_x_iframes,0
ratio_third_party_scripts,0
log_html_length,0
