comparison,chi2,p_value,significance,model_a_correct_only,model_b_correct_only,n_compared
Baseline: XGB_class_weights vs RF_no_balance,21.651020408163266,3.2703598928929267e-06,***,193,297,3779
Baseline: XGB_class_weights vs XGB_no_balance,26.48918918918919,2.6501709160520193e-07,***,135,235,3779
Baseline: XGB_class_weights vs RF_SMOTE,10.260775862068966,0.0013588851925967482,**,197,267,3779
Baseline: XGB_class_weights vs XGB_SMOTE,18.429775280898877,1.7628182577889007e-05,***,137,219,3779
Baseline: XGB_class_weights vs RF_class_weights,14.980891719745223,0.00010860536568835233,***,193,278,3779
Baseline: XGB_class_weights vs RF_SMOTE_weights,9.204494382022473,0.002414216682892767,**,190,255,3779
Baseline: XGB_class_weights vs XGB_SMOTE_weights,85.55902004454343,0.0,***,323,126,3779
Baseline: XGB_class_weights vs Stacking_RF_XGB,5.884615384615385,0.015273733440491655,*,195,247,3779
Enriched: XGB_SMOTE_weights vs RF_no_balance,23.69423076923077,1.1292053678779723e-06,***,204,316,3942
Enriched: XGB_SMOTE_weights vs XGB_no_balance,24.997109826589597,5.741631653455315e-07,***,126,220,3942
Enriched: XGB_SMOTE_weights vs RF_SMOTE,0.05230125523012552,0.8191062323991805,ns,242,236,3942
Enriched: XGB_SMOTE_weights vs XGB_SMOTE,28.62190812720848,8.798111961194621e-08,***,96,187,3942
Enriched: XGB_SMOTE_weights vs RF_class_weights,17.75722543352601,2.5096253865930507e-05,***,211,308,3942
Enriched: XGB_SMOTE_weights vs XGB_class_weights,0.6035714285714285,0.4372185996250276,ns,133,147,3942
Enriched: XGB_SMOTE_weights vs RF_SMOTE_weights,0.05230125523012552,0.8191062323991805,ns,242,236,3942
Enriched: XGB_SMOTE_weights vs Stacking_RF_XGB,31.206751054852322,2.31957997254284e-08,***,75,162,3942
CROSS: Baseline-best vs Enriched-best (shared 3779),4.4433249370277075,0.0350379466494517,*,220,177,3779
CROSS (LOW class only): Baseline-best vs Enriched-best,0.0,1.0,ns,1,2,7
