dataset,model,macro_f1_mean_v4,macro_f1_mean_v5,delta_macro_f1,f1_low_v4,f1_low_v5,delta_f1_low
Baseline,RF_no_balance,0.408,0.4021,-0.0059,0.0,0.0,0.0
Baseline,XGB_no_balance,0.4361,0.4703,0.0342,0.0,0.1818,0.1818
Baseline,RF_SMOTE,0.4749,0.495,0.0201,0.2222,0.25,0.0278
Baseline,XGB_SMOTE,0.4348,0.5065,0.0717,0.0,0.3077,0.3077
Baseline,RF_class_weights,0.4291,0.4241,-0.005,0.2222,0.2,-0.0222
Baseline,XGB_class_weights,0.5493,0.5578,0.0085,0.4,0.3077,-0.0923
Baseline,RF_SMOTE_weights,0.5059,0.5255,0.0196,0.3636,0.3636,0.0
Baseline,XGB_SMOTE_weights,0.5043,0.4606,-0.0437,0.2222,0.027,-0.1952
Baseline,Stacking_RF_XGB,0.5248,0.5169,-0.0079,0.2667,0.2222,-0.0444
Enriched,RF_no_balance,0.51,0.503,-0.007,0.3153,0.3111,-0.0042
Enriched,XGB_no_balance,0.571,0.5704,-0.0007,0.4247,0.4242,-0.0005
Enriched,RF_SMOTE,0.58,0.5711,-0.0089,0.4157,0.3988,-0.0169
Enriched,XGB_SMOTE,0.5879,0.5786,-0.0093,0.453,0.4306,-0.0224
Enriched,RF_class_weights,0.493,0.4977,0.0047,0.3248,0.3431,0.0183
Enriched,XGB_class_weights,0.5898,0.5858,-0.004,0.4367,0.4345,-0.0022
Enriched,RF_SMOTE_weights,0.58,0.5711,-0.0089,0.4157,0.3988,-0.0169
Enriched,XGB_SMOTE_weights,0.594,0.5867,-0.0072,0.4583,0.4311,-0.0272
Enriched,Stacking_RF_XGB,0.5889,0.5802,-0.0087,0.4458,0.4201,-0.0258
