feature,folds_selected
ad_iframe_count,5
ad_keyword_count,5
avg_word_length,5
css_has_grid,5
css_has_flexbox,5
css_avg_selector_length,5
clickbait_question_headlines,5
ngram_.com,5
meta_tag_count,5
hidden_element_count,5
max_dom_depth,5
css_has_reset,5
css_has_position_fixed,5
css_num_animations,5
css_max_selector_length,5
css_num_font_families,5
css_num_font_weight_bold,5
css_num_class_selectors,5
css_total_length,5
css_num_selectors,5
css_num_transitions,5
css_num_important,5
css_num_id_selectors,5
ext_css_has_grid,5
ext_css_has_position_absolute,5
ext_css_has_bootstrap,5
ext_css_has_flexbox,5
ext_css_has_reset,5
css_uses_universal_selector,5
ext_css_avg_selector_length,5
css_uses_web_fonts,5
ext_css_num_animations,5
ext_css_num_transitions,5
ext_css_num_important,5
ext_css_num_ids,5
ext_css_num_font_families,5
ext_css_num_css_variables,5
ext_css_num_colors,5
ext_css_num_classes,5
external_script_count,5
ext_css_uses_universal_selector,5
ext_css_size_bytes,5
has_meta_description,5
has_privacy_policy_link,5
has_terms_link,5
has_contact_page_link,5
ext_css_num_selectors,5
text_to_html_ratio,5
third_party_script_domains,5
social_media_link_count,5
ratio_iframes_per_tag,5
num_stylesheets,5
log_ext_css_num_classes,5
log_ext_css_size_bytes,5
log_ext_css_num_selectors,5
trust_deception_ratio,5
log_word_count,5
log_num_scripts,5
log_css_total_length,5
log_sentence_count,5
ngram_rg,5
ngram_trib,5
ngram_org,5
ngram_net,5
ngram_om,5
ngram_or,5
ngram_nat,5
ngram_co,5
ngram_com,5
ngram_.org,5
ngram_.net,5
ratio_empty_links,5
ratio_inline_scripts,5
ratio_headings_per_paragraph,5
interact_ads_x_hidden,5
clickbait_total,5
interact_clickbait_x_low_text,5
trust_score,5
interact_low_text_high_ads,5
deception_score,5
log_num_spans,5
log_ad_keyword_count,5
num_divs,5
num_scripts,5
num_iframes,5
num_headings,5
log_num_divs,5
num_links_external,5
num_links_nofollow,5
num_paragraphs,5
num_lists,5
clickbait_exclamation_headlines,4
clickbait_allcaps_headlines,4
has_og_tags,4
inline_script_count,4
html_length,4
css_num_css_variables,4
has_robots_meta,4
ext_css_num_font_weight_bold,4
ngram_mes,4
ngram_dia,4
ext_css_uses_web_fonts,4
has_about_page_link,4
log_total_tags,4
interact_external_x_empty_links,4
ratio_popups_per_tag,4
log_text_length,4
word_count,4
num_inline_styles,4
num_tables,4
ngram_tio,4
num_links_total,4
ngram_et,3
ngram_edi,3
ngram_ati,3
num_images,3
css_num_colors,3
ngram_free,3
ratio_images_per_1k_words,3
num_forms,3
ngram_ws,2
ngram_es,2
ngram_ion,2
num_links_empty,2
ngram_ne,2
ngram_news,2
ngram_ews,2
css_has_tailwind,2
complexity_score,2
ad_density,1
css_has_position_absolute,1
sentence_count,1
css_has_bootstrap,1
ngram_time,1
ngram_tim,1
text_length,1
num_inputs,1
log_num_links_total,1
interact_scripts_x_3rdparty,1
ngram_in,1
ngram_ew,1
num_links_internal,1
ratio_ads_per_paragraph,1
avg_sentence_length,0
has_twitter_tags,0
has_canonical,0
external_link_ratio,0
ext_css_num_media_queries,0
ext_css_num_imports,0
css_num_imports,0
css_num_media_queries,0
internal_link_ratio,0
ngram_wire,0
ngram_tic,0
ngram_re,0
ngram_ww,0
ngram_ail,0
ngram_an,0
ngram_dai,0
ngram_ime,0
ngram_ily,0
ngram_ics,0
ngram_he,0
ngram_med,0
ngram_lit,0
ngram_media,0
ngram_nal,0
ngram_ed,0
ngram_en,0
ngram_epo,0
ngram_er,0
ngram_report,0
ngram_th,0
ngram_the,0
ngram_ti,0
ngram_press,0
ngram_rep,0
ngram_ost,0
ngram_pol,0
ngram_polit,0
ngram_por,0
ngram_pos,0
ngram_post,0
ngram_new,0
ngram_oli,0
ngram_ort,0
ngram_on,0
ngram_daily,0
num_videos,0
ngram_www,0
num_spans,0
ratio_scripts_per_tag,0
unique_tags,0
total_tags,0
popup_indicator_count,0
interact_popups_x_iframes,0
ratio_third_party_scripts,0
ratio_external_links,0
log_html_length,0
