dataset,model,macro_f1_mean,macro_f1_std,accuracy,f1_high,precision_high,recall_high,f1_low,precision_low,recall_low,f1_medium,precision_medium,recall_medium,tier,n_features_input
Ablation_NoMBFC,RF_no_balance,0.47963410315579297,0.03962554285042438,0.8318112633181126,0.9071899169292467,0.8445333333333334,0.9798886138613861,0.30414746543778803,0.7021276595744681,0.19411764705882353,0.23065693430656933,0.5448275862068965,0.14629629629629629,NoMBFC,164
Ablation_NoMBFC,XGB_no_balance,0.5383751756253708,0.02543973533786202,0.8264840182648402,0.9054093999408809,0.866723259762309,0.9477103960396039,0.373015873015873,0.573170731707317,0.27647058823529413,0.3418013856812933,0.4539877300613497,0.2740740740740741,NoMBFC,164
Ablation_NoMBFC,RF_SMOTE,0.5438072531541167,0.039144543896543246,0.8003551496702181,0.8905742145178764,0.8909879219572623,0.8901608910891089,0.32919254658385094,0.34868421052631576,0.31176470588235294,0.4087193460490463,0.40106951871657753,0.4166666666666667,NoMBFC,164
Ablation_NoMBFC,XGB_SMOTE,0.5579292140946347,0.03365584173685136,0.8247082699137493,0.9036594473487677,0.8735200693040717,0.9359529702970297,0.4,0.5578947368421052,0.31176470588235294,0.37445887445887444,0.4505208333333333,0.32037037037037036,NoMBFC,164
Ablation_NoMBFC,RF_class_weights,0.4605925670590418,0.028697818611971116,0.8333333333333334,0.9074864787930543,0.8402741170268846,0.9863861386138614,0.2641509433962264,0.6666666666666666,0.16470588235294117,0.21362229102167182,0.6509433962264151,0.12777777777777777,NoMBFC,164
Ablation_NoMBFC,XGB_class_weights,0.5698166460276739,0.024715680252933015,0.8143074581430746,0.8977099236641222,0.8860759493670886,0.9096534653465347,0.41114982578397213,0.5042735042735043,0.34705882352941175,0.40305635148042024,0.4161735700197239,0.3907407407407407,NoMBFC,164
Ablation_NoMBFC,RF_SMOTE_weights,0.5438072531541167,0.039144543896543246,0.8003551496702181,0.8905742145178764,0.8909879219572623,0.8901608910891089,0.32919254658385094,0.34868421052631576,0.31176470588235294,0.4087193460490463,0.40106951871657753,0.4166666666666667,NoMBFC,164
Ablation_NoMBFC,XGB_SMOTE_weights,0.550743376340392,0.02103671772229106,0.7973110096397767,0.8870292887029289,0.88854393045638,0.885519801980198,0.3682539682539683,0.4,0.3411764705882353,0.3996415770609319,0.3871527777777778,0.412962962962963,NoMBFC,164
Ablation_NoMBFC,Stacking_RF_XGB,0.5449902870065321,0.0,0.8188736681887366,0.9015901590159016,0.8750728013977869,0.9297648514851485,0.36774193548387096,0.40714285714285714,0.3352941176470588,0.3656387665198238,0.45108695652173914,0.3074074074074074,NoMBFC,164
Ablation_PureStructural,RF_no_balance,0.4905206579546638,0.038236243073746214,0.832572298325723,0.9067164179104478,0.8455567451820128,0.9774133663366337,0.3181818181818182,0.7,0.20588235294117646,0.25287356321839083,0.5641025641025641,0.16296296296296298,PureStructural,82
Ablation_PureStructural,XGB_no_balance,0.5406621090930187,0.03164901855278915,0.8292744799594115,0.906061052942044,0.8655959425190194,0.9504950495049505,0.3643724696356275,0.5844155844155844,0.2647058823529412,0.35514018691588783,0.4810126582278481,0.2814814814814815,PureStructural,82
Ablation_PureStructural,RF_SMOTE,0.5587738234474535,0.0330584917348962,0.799847792998478,0.8901373283395755,0.8979848866498741,0.8824257425742574,0.36627906976744184,0.3620689655172414,0.37058823529411766,0.4204946996466431,0.40202702702702703,0.44074074074074077,PureStructural,82
Ablation_PureStructural,XGB_SMOTE,0.540137322772833,0.02813614511982751,0.8074581430745814,0.8909610467739509,0.8668422592917764,0.9164603960396039,0.37722419928825623,0.4774774774774775,0.31176470588235294,0.3522012578616352,0.4057971014492754,0.3111111111111111,PureStructural,82
Ablation_PureStructural,RF_class_weights,0.49757769908973976,0.048182872761139306,0.8254693049213597,0.902611455778387,0.8456339551230062,0.9678217821782178,0.3724696356275304,0.5974025974025974,0.27058823529411763,0.22662889518413598,0.4819277108433735,0.14814814814814814,PureStructural,82
Ablation_PureStructural,XGB_class_weights,0.5525351452336107,0.03644292693678004,0.7917300862506342,0.8820879291595464,0.8858034321372855,0.8784034653465347,0.38961038961038963,0.43478260869565216,0.35294117647058826,0.38981562774363476,0.37061769616026713,0.4111111111111111,PureStructural,82
Ablation_PureStructural,RF_SMOTE_weights,0.5587738234474535,0.0330584917348962,0.799847792998478,0.8901373283395755,0.8979848866498741,0.8824257425742574,0.36627906976744184,0.3620689655172414,0.37058823529411766,0.4204946996466431,0.40202702702702703,0.44074074074074077,PureStructural,82
Ablation_PureStructural,XGB_SMOTE_weights,0.5579910908739107,0.01682188212931135,0.7805682394723491,0.8728773210601491,0.8960573476702509,0.8508663366336634,0.378698224852071,0.38095238095238093,0.3764705882352941,0.42248995983935744,0.3730496453900709,0.48703703703703705,PureStructural,82
Ablation_PureStructural,Stacking_RF_XGB,0.5540040285263216,0.0,0.8163368848300355,0.8974358974358975,0.8755150088287228,0.9204826732673267,0.3717948717948718,0.4084507042253521,0.3411764705882353,0.39278131634819535,0.4601990049751244,0.3425925925925926,PureStructural,82
